buy_date,sell_date,buy_price,sell_price,profit_pct
2010-02-04,2015-11-06,0.3975000083446502,0.7887499928474426,98.42766699103092
2016-01-04,2016-08-15,0.809249997138977,1.5744999647140503,94.56286317955372
2016-09-09,2019-03-11,1.4880000352859497,4.028500080108643,170.7325258453024
2019-04-26,2020-03-19,4.452250003814697,5.324250221252441,19.58560765209978
2020-03-20,2020-08-25,5.143750190734863,12.75,147.87362385844145
2020-09-08,2021-04-14,11.913000106811523,15.277000427246094,28.238061699597637
2021-05-04,2021-08-20,14.35124969482422,20.81599998474121,45.04660170639009
2021-09-20,2021-11-05,21.113000869750977,29.75200080871582,40.91791589580292
2021-12-03,2023-08-31,30.69300079345703,49.35499954223633,60.8021316467615
2023-09-20,2024-02-09,42.23899841308594,72.13300323486328,70.77346988539381
2024-04-04,2024-06-04,85.90499877929688,116.43699645996094,35.541584441559046
2024-07-16,2024-08-19,126.36000061035156,130.0,2.880657939273739
2024-09-06,2025-02-10,102.83000183105467,133.57000732421875,29.894004615178943
